iron_l_Pu_mean,iron_r_Pu_mean,iron_l_Cd_mean,iron_r_Cd_mean,iron_l_GP_mean,iron_r_GP_mean
44.72698771101842,45.117637677335416,43.27416132973434,34.00084093029693,111.79410006098612,111.97598180400983
41.56780341691518,47.90168665714939,45.63304208412838,39.94818268199425,131.21299642297063,129.6986574845073
38.26319442631883,44.48947163821037,33.98499903321083,39.08629873244215,115.77023086929958,134.47050188260283
28.236083205253504,29.04908054568068,34.87568367315546,37.717645081412215,80.09327778019771,82.7832378149525
35.9991267150653,36.550216404618574,39.75220388291294,41.120333418664565,107.5515967181593,107.12503252837138
33.83075934633138,35.02845469256406,37.14184338546451,38.20726745210946,130.8065162658691,129.26005233387224
35.92993009950625,41.254827322014044,39.36167891409913,36.36004826271844,106.88395099434146,109.70237770624892
30.66741156329781,31.97012471188389,31.961591046331048,36.59146603741935,108.57530067665068,114.30682630070372
42.23932084323152,43.55102356887261,46.2378738055566,43.07461929047245,130.51729136020865,130.1550814116956
35.74416639572006,34.2485509495975,26.81179282721336,34.17824341768329,98.60917407263844,104.36587009665824
33.18859249247992,35.65033508097697,43.6409302607411,38.39151099320571,121.33853949456956,122.98016634876473
37.607947028997216,35.01642077986806,38.79384723792365,42.26127685261448,114.86220131481394,109.2642534010189
44.95726969722112,41.978403215270006,47.683760237927245,46.52193438434456,117.93941063441284,112.57245325715792
41.976887054535865,40.910610606084106,32.902927718953734,36.953189027647255,120.89801921882253,117.72177007792324
37.792709768070296,38.68397965810343,39.87873462753529,47.19986887558818,119.84341604216804,124.0002545469328
37.85857691216641,38.74250888738603,42.30080412000353,39.59060736119788,112.9847277505536,110.58093473691756
35.906608666957645,34.16738189690549,34.92995732750172,35.448412434899026,111.3138346097979,108.84471155362152
37.90882550874479,34.41257343695444,36.40023940939808,34.26961369332349,112.9482458938252,103.97697756005
35.59744694136286,37.49050653871612,33.05374831451656,37.78008015993479,112.074261301243,103.88453231097456
42.17437830508072,37.69423840398452,35.61632471152458,32.41416915205722,136.99556974810736,131.87620726085845
33.21112644444788,36.91424989551152,36.55352653620759,36.03484807129424,118.85326462512042,112.39952294726234
33.32913222464793,34.17005786620198,38.329875756842064,36.12586181623061,85.81224162737529,85.23161669572194
40.33031530957081,39.35908728041847,41.37659494203302,41.19184719349788,118.00678758506152,117.26719566444298
31.723405258282117,30.060562754143795,38.15014919178272,35.59355240589996,91.1094551647857,95.6673510597481
29.42083882615751,29.22616129195624,30.58936529508907,31.67858715050862,119.76181786153664,114.07964363582632
38.922689902151085,38.99437162724644,37.94924071214157,43.1091447157913,112.8617146091077,111.95418396687654
37.39632479245768,38.69259413457926,45.91608712206779,47.4399650042388,112.44807848981128,113.55645521920368
30.5911047727339,30.46729537488821,36.51770921644344,35.30437494036673,107.67832608876496,108.3722554614039
41.98602479064594,42.17948707052895,38.59824248340892,43.066709700687255,138.04517703645126,138.76422301534313
36.461160785118814,39.945216810582046,33.7888874087998,31.996657531915112,136.097696175524,128.39189919332856
30.19929383474431,32.89133532215245,33.64204189988176,36.56678686199085,126.45525776585444,119.86055805556572
